1: 1533.819702, 1533.819702 avg, 0.000000 rate, 9.066676 seconds, 64 images
2: 1535.291504, 1533.966919 avg, 0.000000 rate, 9.171235 seconds, 128 images
3: 1531.841919, 1533.754395 avg, 0.000000 rate, 9.273416 seconds, 192 images
4: 1532.364258, 1533.615356 avg, 0.000000 rate, 9.339954 seconds, 256 images
5: 1533.383057, 1533.592163 avg, 0.000000 rate, 9.417027 seconds, 320 images
6: 1533.247559, 1533.557739 avg, 0.000000 rate, 9.568081 seconds, 384 images
7: 1534.355225, 1533.637451 avg, 0.000000 rate, 9.725780 seconds, 448 images
8: 1533.646118, 1533.638306 avg, 0.000000 rate, 9.667964 seconds, 512 images
9: 1534.151123, 1533.689575 avg, 0.000000 rate, 9.783836 seconds, 576 images
10: 1533.161255, 1533.636719 avg, 0.000000 rate, 9.867080 seconds, 640 images
11: 684.164307, 1448.689453 avg, 0.000000 rate, 4.456594 seconds, 704 images
12: 683.328064, 1372.153320 avg, 0.000000 rate, 4.551732 seconds, 768 images
13: 683.824646, 1303.320435 avg, 0.000000 rate, 4.468056 seconds, 832 images
14: 683.592224, 1241.347656 avg, 0.000000 rate, 4.536792 seconds, 896 images
15: 683.388916, 1185.551758 avg, 0.000000 rate, 4.540831 seconds, 960 images
16: 683.613525, 1135.357910 avg, 0.000000 rate, 4.542022 seconds, 1024 images
17: 683.385193, 1090.160645 avg, 0.000000 rate, 4.575138 seconds, 1088 images
18: 687.445923, 1049.889160 avg, 0.000000 rate, 4.499914 seconds, 1152 images
19: 683.244080, 1013.224670 avg, 0.000000 rate, 4.503096 seconds, 1216 images
20: 685.810791, 980.483276 avg, 0.000000 rate, 4.509410 seconds, 1280 images
21: 1065.791016, 989.014038 avg, 0.000000 rate, 6.467032 seconds, 1344 images
22: 1067.220093, 996.834656 avg, 0.000000 rate, 6.529635 seconds, 1408 images
23: 1066.509399, 1003.802124 avg, 0.000000 rate, 6.490343 seconds, 1472 images
24: 1063.227661, 1009.744690 avg, 0.000000 rate, 6.542576 seconds, 1536 images
25: 1066.332764, 1015.403503 avg, 0.000000 rate, 6.567807 seconds, 1600 images
26: 1065.791870, 1020.442322 avg, 0.000000 rate, 6.558755 seconds, 1664 images
27: 1067.436279, 1025.141724 avg, 0.000000 rate, 6.565245 seconds, 1728 images
28: 1065.506836, 1029.178223 avg, 0.000000 rate, 6.595927 seconds, 1792 images
29: 1065.022827, 1032.762695 avg, 0.000000 rate, 6.527046 seconds, 1856 images
30: 1066.266113, 1036.113037 avg, 0.000000 rate, 6.538002 seconds, 1920 images
31: 1529.636230, 1085.465332 avg, 0.000000 rate, 9.477359 seconds, 1984 images
32: 1530.266968, 1129.945557 avg, 0.000000 rate, 9.683030 seconds, 2048 images
33: 1531.396118, 1170.090576 avg, 0.000000 rate, 9.768407 seconds, 2112 images
34: 1529.055664, 1205.987061 avg, 0.000000 rate, 9.870641 seconds, 2176 images
35: 1529.389648, 1238.327271 avg, 0.000000 rate, 9.764459 seconds, 2240 images
36: 1526.617432, 1267.156250 avg, 0.000000 rate, 9.738487 seconds, 2304 images
37: 1526.031250, 1293.043701 avg, 0.000000 rate, 9.655833 seconds, 2368 images
38: 1524.020386, 1316.141357 avg, 0.000000 rate, 9.676055 seconds, 2432 images
39: 1521.679443, 1336.695190 avg, 0.000000 rate, 9.712636 seconds, 2496 images
40: 1522.558960, 1355.281616 avg, 0.000000 rate, 9.745512 seconds, 2560 images
41: 794.283081, 1299.181763 avg, 0.000000 rate, 5.217195 seconds, 2624 images
42: 795.963257, 1248.859863 avg, 0.000000 rate, 5.305841 seconds, 2688 images
43: 792.679077, 1203.241821 avg, 0.000000 rate, 5.282748 seconds, 2752 images
44: 791.860962, 1162.103760 avg, 0.000000 rate, 5.383977 seconds, 2816 images
45: 790.409363, 1124.934326 avg, 0.000000 rate, 5.266323 seconds, 2880 images
46: 789.132568, 1091.354126 avg, 0.000000 rate, 5.299347 seconds, 2944 images
47: 790.292236, 1061.247925 avg, 0.000000 rate, 5.281365 seconds, 3008 images
48: 786.995300, 1033.822632 avg, 0.000000 rate, 5.301684 seconds, 3072 images
49: 788.739685, 1009.314331 avg, 0.000000 rate, 5.302815 seconds, 3136 images
50: 783.386414, 986.721558 avg, 0.000000 rate, 5.278340 seconds, 3200 images
51: 668.955200, 954.944946 avg, 0.000000 rate, 4.451897 seconds, 3264 images
52: 667.396179, 926.190063 avg, 0.000000 rate, 4.527902 seconds, 3328 images
53: 664.403870, 900.011475 avg, 0.000000 rate, 4.491475 seconds, 3392 images
54: 662.923645, 876.302673 avg, 0.000000 rate, 4.460515 seconds, 3456 images
55: 663.891174, 855.061523 avg, 0.000000 rate, 4.494388 seconds, 3520 images
56: 660.344849, 835.589844 avg, 0.000000 rate, 4.519737 seconds, 3584 images
57: 658.560242, 817.886902 avg, 0.000000 rate, 4.505097 seconds, 3648 images
58: 655.774048, 801.675598 avg, 0.000000 rate, 4.615262 seconds, 3712 images
59: 655.989868, 787.107056 avg, 0.000000 rate, 4.508614 seconds, 3776 images
60: 649.724731, 773.368835 avg, 0.000000 rate, 4.512598 seconds, 3840 images
61: 546.945007, 750.726440 avg, 0.000000 rate, 3.972878 seconds, 3904 images
62: 546.337524, 730.287537 avg, 0.000000 rate, 4.062470 seconds, 3968 images
63: 542.600403, 711.518799 avg, 0.000000 rate, 4.019701 seconds, 4032 images
64: 540.992126, 694.466125 avg, 0.000000 rate, 4.047003 seconds, 4096 images
65: 539.270996, 678.946594 avg, 0.000000 rate, 4.035276 seconds, 4160 images
66: 535.360229, 664.587952 avg, 0.000000 rate, 4.046790 seconds, 4224 images
67: 534.010437, 651.530212 avg, 0.000000 rate, 4.010614 seconds, 4288 images
68: 529.366272, 639.313843 avg, 0.000000 rate, 4.063293 seconds, 4352 images
69: 530.662537, 628.448730 avg, 0.000000 rate, 3.998564 seconds, 4416 images
70: 524.095825, 618.013428 avg, 0.000000 rate, 4.063961 seconds, 4480 images
